,Unnamed: 0,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
71,71,359,2019-12-01 04:01:21.2920,2019-12-01 04:07:21.0580,332,Harvard Ave at Brainerd Rd,42.34953016890375,-71.13022770741735,8,Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,4028,Subscriber,1989,1
72,72,3941,2019-12-01 04:09:36.5110,2019-12-01 05:15:18.4620,203,Columbia Rd at Ceylon St,42.309572,-71.0729,138,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,2895,Customer,1993,1
73,73,2701,2019-12-01 04:18:46.9160,2019-12-01 05:03:48.6730,114,Teele Square,42.40203828065014,-71.1265329148955,184,Sidney Research Campus/ Erie Street at Waverly,42.35775309465199,-71.10393404960632,4157,Subscriber,1997,1
74,74,1464,2019-12-01 04:29:50.0790,2019-12-01 04:54:14.6900,59,Chinatown Gate Plaza,42.351356,-71.059367,279,Williams St at Washington St,42.306539,-71.107669,4178,Customer,1994,1
75,75,576,2019-12-01 04:41:01.0730,2019-12-01 04:50:37.9000,160,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601097239,-71.09627097845076,21,Prudential Center - 101 Huntington Ave,42.34652003998412,-71.08065776545118,5216,Customer,1999,2
76,76,538,2019-12-01 04:44:26.0040,2019-12-01 04:53:24.6480,12,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624444796878,-71.08798563480377,379,Tremont St at W. Dedham St,42.34254913737952,-71.07421449387857,2763,Customer,2000,2
77,77,643,2019-12-01 04:47:10.5170,2019-12-01 04:57:53.6940,226,Commonwealth Ave At Babcock St,42.35154734791375,-71.12126246094704,15,Brighton Mills - 370 Western Ave,42.3615457081725,-71.13776206970215,3055,Subscriber,1969,2
78,78,913,2019-12-01 04:57:48.7880,2019-12-01 05:13:02.1120,346,Cleveland Circle,42.335543083570826,-71.15061519672052,103,JFK Crossing at Harvard St. / Thorndike St.,42.346563,-71.128374,5819,Subscriber,1996,2
79,79,2263,2019-12-01 05:19:02.1910,2019-12-01 05:56:45.8430,174,Washington St at Brock St,42.3489528466951,-71.16031676530838,157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,4109,Subscriber,1956,1
80,80,358,2019-12-01 05:29:33.9980,2019-12-01 05:35:32.3910,352,Ring Rd,42.348278385426255,-71.08044855314802,39,Washington St at Rutland St,42.338514601786,-71.07404083013535,5537,Subscriber,1987,2
81,81,1403,2019-12-01 05:51:50.7180,2019-12-01 06:15:13.7990,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,30,Brigham Circle - Francis St at Huntington Ave,42.33462893055976,-71.10407917767589,6139,Subscriber,1995,1
82,82,403,2019-12-01 06:16:09.5740,2019-12-01 06:22:53.1000,338,Commonwealth Ave at Kelton St,42.348358628170445,-71.13997217276847,226,Commonwealth Ave At Babcock St,42.35154734791375,-71.12126246094704,4107,Subscriber,1995,1
83,83,727,2019-12-01 06:16:56.0140,2019-12-01 06:29:03.6210,409,Elm St at White St,42.38952436305763,-71.11694140364307,183,Alewife MBTA at Steel Place,42.39558845716709,-71.14260613918304,4716,Customer,1993,1
84,84,493,2019-12-01 06:17:07.6090,2019-12-01 06:25:21.2500,437,Berkshire Street at Cambridge Street,42.37207657915397,-71.08995433905875,60,Charles Circle - Charles St at Cambridge St,42.36079296858265,-71.07118962337152,5457,Subscriber,1987,1
85,85,590,2019-12-01 06:18:32.6380,2019-12-01 06:28:23.0670,377,Perry Park,42.37927324600841,-71.10341902831351,149,175 N Harvard St,42.363796,-71.129164,3523,Subscriber,1968,1
86,86,872,2019-12-01 06:21:54.7600,2019-12-01 06:36:26.8340,149,175 N Harvard St,42.363796,-71.129164,71,Conway Park - Somerville Avenue,42.383405,-71.107593,5891,Subscriber,1986,2
87,87,601,2019-12-01 06:24:10.3780,2019-12-01 06:34:12.3580,184,Sidney Research Campus/ Erie Street at Waverly,42.35775309465199,-71.10393404960632,413,Kennedy-Longfellow School 158 Spring St,42.36955297756508,-71.08579014980933,3442,Customer,1969,0
88,88,400,2019-12-01 06:26:10.2110,2019-12-01 06:32:50.3090,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,42,Boylston St at Arlington St,42.35258779507021,-71.06764905172895,3603,Subscriber,1983,1
89,89,255,2019-12-01 06:27:25.3260,2019-12-01 06:31:40.7190,402,Washington St at Griggs Rd,42.33833423719901,-71.13050930220197,86,Brookline Village - Station Street at MBTA,42.33274392304887,-71.11626680949485,2601,Subscriber,1978,1
90,90,460,2019-12-01 06:28:21.8390,2019-12-01 06:36:02.6960,20,Aquarium T Stop - 200 Atlantic Ave,42.35991176110118,-71.0514298081398,24,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,3792,Customer,1969,0
91,91,537,2019-12-01 06:38:27.5880,2019-12-01 06:47:24.8960,27,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,21,Prudential Center - 101 Huntington Ave,42.34652003998412,-71.08065776545118,3303,Subscriber,1986,1
92,92,519,2019-12-01 06:39:04.0800,2019-12-01 06:47:43.7640,179,MIT Vassar St,42.35560121327927,-71.10394477844238,189,Kendall T,42.3624278429124,-71.08495473861694,6080,Subscriber,1987,1
93,93,452,2019-12-01 06:48:51.6030,2019-12-01 06:56:23.7900,360,Bartlett St at John Elliot Sq,42.3294633,-71.0901582,404,Mass Ave T Station,42.34135615767354,-71.08336953450817,3979,Subscriber,1992,1
94,94,386,2019-12-01 06:52:45.8590,2019-12-01 06:59:12.2940,221,Verizon Innovation Hub 10 Ware Street,42.37250864997261,-71.11305356025696,180,Mt Auburn,42.37478628706384,-71.13320231437683,5736,Subscriber,1989,1
95,95,246,2019-12-01 06:54:10.9320,2019-12-01 06:58:17.3060,404,Mass Ave T Station,42.34135615767354,-71.08336953450817,51,Washington St at Lenox St,42.3350989929096,-71.07903778553009,4888,Subscriber,1946,1
96,96,336,2019-12-01 06:59:16.2660,2019-12-01 07:04:52.9380,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,4948,Subscriber,1996,1
97,97,711,2019-12-01 07:09:19.6630,2019-12-01 07:21:11.5300,169,Edwards Playground - Main St at Eden St,42.378965,-71.068607,236,Assembly Square T,42.39223284004628,-71.07746601104736,4110,Subscriber,1992,2
98,98,832,2019-12-01 07:10:32.0760,2019-12-01 07:24:24.7480,358,Medford St at Charlestown BCYF,42.380429474494896,-71.06055721676967,81,Chinatown T Stop,42.352409,-71.062679,4421,Subscriber,1991,2
99,99,236,2019-12-01 07:10:43.8990,2019-12-01 07:14:40.4160,381,Inman Square at Springfield St.,42.37438408515815,-71.1001574621514,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,3981,Subscriber,1996,2
100,100,185,2019-12-01 07:10:59.4750,2019-12-01 07:14:05.2060,386,Sennott Park  Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,6097,Subscriber,1979,2
101,101,470,2019-12-01 07:14:58.1570,2019-12-01 07:22:48.6980,19,Park Dr at Buswell St,42.347241,-71.105301,9,Commonwealth Ave at Agganis Way,42.35169201885973,-71.11903488636017,3780,Subscriber,1981,1
102,102,626,2019-12-01 07:18:47.7760,2019-12-01 07:29:13.9570,332,Harvard Ave at Brainerd Rd,42.34953016890375,-71.13022770741735,15,Brighton Mills - 370 Western Ave,42.3615457081725,-71.13776206970215,1673,Subscriber,1998,1
103,103,607,2019-12-01 07:21:23.6340,2019-12-01 07:31:31.3580,11,Longwood Ave at Binney St,42.338629,-71.1065,10,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,2800,Subscriber,1988,2
104,104,389,2019-12-01 07:23:25.9450,2019-12-01 07:29:55.0680,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,189,Kendall T,42.3624278429124,-71.08495473861694,5019,Subscriber,1992,2
105,105,334,2019-12-01 07:33:00.2970,2019-12-01 07:38:35.1060,10,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,105,Lower Cambridgeport at Magazine St / Riverside Rd,42.357218503176526,-71.1138716340065,2935,Subscriber,1988,2
106,106,254,2019-12-01 07:33:00.3740,2019-12-01 07:37:14.5060,159,S Huntington Ave at Heath St,42.32760387040573,-71.11089169979095,125,Hyde Square - Barbara St at Centre St,42.32176525723952,-71.10984160567114,5092,Subscriber,1990,1
107,107,70,2019-12-01 07:33:37.4630,2019-12-01 07:34:47.9070,160,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601097239,-71.09627097845076,160,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601097239,-71.09627097845076,5038,Subscriber,1998,1
108,108,542,2019-12-01 07:34:58.9300,2019-12-01 07:44:00.9480,60,Charles Circle - Charles St at Cambridge St,42.36079296858265,-71.07118962337152,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,5457,Subscriber,1997,1
109,109,915,2019-12-01 07:35:08.7440,2019-12-01 07:50:24.6070,160,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.33758601097239,-71.09627097845076,9,Commonwealth Ave at Agganis Way,42.35169201885973,-71.11903488636017,2545,Subscriber,1998,1
110,110,338,2019-12-01 07:37:08.1040,2019-12-01 07:42:47.0490,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191315,80,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,6086,Subscriber,1993,1
111,111,379,2019-12-01 07:37:36.6760,2019-12-01 07:43:56.6390,26,Washington St at Waltham St,42.34155984972459,-71.06886953115463,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412317439,-71.07657015323639,3353,Subscriber,1959,1
112,112,369,2019-12-01 07:38:00.8850,2019-12-01 07:44:09.8860,17,Soldiers Field Park - 111 Western Ave,42.36426344063853,-71.1182756971175,149,175 N Harvard St,42.363796,-71.129164,2717,Subscriber,1989,1
113,113,550,2019-12-01 07:40:22.1520,2019-12-01 07:49:32.8180,190,Nashua Street at Red Auerbach Way,42.365673,-71.064263,85,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,3822,Subscriber,1980,1
114,114,598,2019-12-01 07:44:52.9320,2019-12-01 07:54:51.8070,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,105,Lower Cambridgeport at Magazine St / Riverside Rd,42.357218503176526,-71.1138716340065,4735,Subscriber,1970,2
